Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
194	900	1367	1	04/04/24 02:18:39 PM	
195	900	1381	1	04/04/24 02:18:41 PM	
196	900	1354	1	04/04/24 02:18:42 PM	
197	900	1370	1	04/04/24 02:18:43 PM	
198	900	1394	1	04/04/24 02:18:44 PM	
199	900	1379	1	04/04/24 02:18:45 PM	
200	900	1401	1	04/04/24 02:18:46 PM	
201	900	1378	1	04/04/24 02:18:47 PM	
202	900	1366	1	04/04/24 02:18:49 PM	
203	900	1361	1	04/04/24 02:18:50 PM	
204	900	1405	1	04/04/24 02:18:51 PM	
205	900	1416	1	04/04/24 02:18:52 PM	
206	900	1390	1	04/04/24 02:18:53 PM	
207	900	1400	1	04/04/24 02:18:54 PM	
208	900	1410	1	04/04/24 02:18:56 PM	
209	900	1378	1	04/04/24 02:18:57 PM	
210	900	1402	1	04/04/24 02:18:58 PM	
211	900	1346	1	04/04/24 02:18:59 PM	
212	900	1364	1	04/04/24 02:19:00 PM	
213	900	1376	1	04/04/24 02:19:01 PM	
214	900	1388	1	04/04/24 02:19:02 PM	
215	900	1339	1	04/04/24 02:19:03 PM	
216	900	1361	1	04/04/24 02:19:05 PM	
217	900	1373	1	04/04/24 02:19:06 PM	
218	900	1390	1	04/04/24 02:19:07 PM	
219	900	1391	1	04/04/24 02:19:08 PM	
220	900	1380	1	04/04/24 02:19:09 PM	
221	900	1376	1	04/04/24 02:19:10 PM	
222	900	1364	1	04/04/24 02:19:12 PM	
223	900	1360	1	04/04/24 02:19:13 PM	
224	900	1351	1	04/04/24 02:19:14 PM	
225	900	1399	1	04/04/24 02:19:15 PM	
226	900	1383	1	04/04/24 02:19:16 PM	
227	900	1378	1	04/04/24 02:19:17 PM	
228	900	1376	1	04/04/24 02:19:18 PM	
229	900	1376	1	04/04/24 02:19:20 PM	
230	900	1405	1	04/04/24 02:19:21 PM	
231	900	1375	1	04/04/24 02:19:22 PM	
232	900	1390	1	04/04/24 02:19:23 PM	
233	900	1395	1	04/04/24 02:19:24 PM	
234	900	1395	1	04/04/24 02:19:25 PM	
